"(株)アルファネット ","16名（2015年9月現在）","1〜5名","alfanet@jinjisaiyo.net",NO DATA,"アルファネット採用事務局※弊社は新卒採用の一部をシンクトワイス(株)に委託しております。 　お問い合わせの際には、アルファネット採用事務局新卒採用担当宛てにご連絡ください。【お問い合わせはE-MAILにて承ります】alfanet@jinjisaiyo.net"
"(株)ねこのてカンパニー【てまりのおうち】 ","28名","21〜25名","nekonote-company@jinjisaiyo.net",NO DATA,"※弊社は新卒採用をシンクトワイス(株)に委託しております。 　お問い合わせの際には、ねこのてカンパニー採用事務局新卒採用担当宛てに 　ご連絡ください。"
"(株)船昌【船昌グループ】  ","87名（男子62名　女子25名) ※2014年4月現在","6〜10名","funasho＠jinjisaiyo.net",NO DATA,"船昌採用事務局 ※当社は新卒採用の一部をシンクトワイス(株)に委託しております。 お問い合わせの際には、船昌採用事務局新卒採用担当宛てに ご連絡ください。【お問い合わせはメールにて承ります】funasho＠jinjisaiyo.net"
"ラサ商事(株)【東証一部上場】 ","184名(2016年3月期）","6〜10名","rasa@jinjisaiyo.net",NO DATA,"ラサ商事採用事務局 ※当社は新卒採用をシンクトワイス(株)に委託しております。 お問い合わせの際には、ラサ商事採用事務局新卒採用担当宛てに ご連絡ください。"
"(株)美容経済新聞社 ","20名(2016年10月)","1〜5名","bhn@jinjisaiyo.net",NO DATA,"美容経済新聞社採用事務局※弊社は新卒採用の一部をシンクトワイス(株)に委託しております。 お問い合わせの際には、美容経済新聞社採用事務局新卒採用担当宛てにご連絡ください。【お問い合わせはE-MAILにて承ります】bhn@jinjisaiyo.net※緊急連絡先(シンクトワイス株式会社)：03-6825-5450"
"(株)ウノトレーディング ","69名（男61名、女8名）2016年4月現在","6〜10名","takeuchi@unotrading.co.jp","0357534731","〒143-0006東京都大田区平和島3-3-8 (株)ウノトレーディング　総務部採用担当：竹内　郁生TEL:03（5753）4731FAX:03（5753）4733"
"(株)ベネッセｉ-キャリア【新卒エージェントサービス】（旧社名：(株)インテリジェンス【就職エージェントサービス】） ","3976名","301名〜",NO DATA,"03-5909-8507","(株)ベネッセ i-キャリア　新卒エージェントサービス本社・ベネッセ i-キャリア　新卒エージェントサービス事務局東京都新宿区西新宿2-1-1新宿三井ビルディング32階TEL：03-5909-8507大阪府大阪市北区大深町3-1グランフロント大阪タワーB（北館）16階TEL：06-6292-5703"
"(株)フォーブス【ホテル ウィングインターナショナル】 ","689名（平成28年4月）","1〜5名","hotelwing@jinjisaiyo.net","03-6825-5450","フォーブス採用事務局※当社は新卒採用をシンクトワイス(株)に委託しております。 お問い合わせの際には、必ず以下のご連絡先にご連絡ください。株式会社フォーブス採用事務局　Tel: 03-6825-5450"
"(株)マイナビワークス【マイナビ新卒紹介：就職エージェント(就職支援サービス)】  ","約290名（2016年12月現在）","301名〜","shinsotsu-2017@mynavi.jp","03-5909-1649","(株)マイナビワークスマイナビ新卒紹介事務局【新宿】〒163-1519　東京都新宿区西新宿1-6-1新宿エルタワー19FTEL:03-5909-1649【大阪】〒530-0011　大阪府大阪市北区大深町4-20グランフロント 大阪タワーA 30FTEL:06-4802-1365【京都】京都府京都市下京区四条通り烏丸東入長刀鉾町10 京都ダイヤビル 7FTEL:075-212-8378【名古屋】〒450-6209　愛知県名古屋市中村区名駅4-7-1ミッドランド スクエア 9FTEL:052-582-1454"
"(株)ネオキャリア【就職エージェント（就職支援サービス）】 ","1,979名　※2016年9月末時点","若干名","info.sa@neo-career.co.jp",NO DATA,"【東京】〒160-0023東京都新宿区西新宿1丁目22番2号 新宿サンエービル 2F株式会社ネオキャリア　就職エージェント（就職支援サービス）フリーダイアル：0120-171-248【大阪】〒530-0002大阪府大阪市北区曽根崎新地2-2-16 桜橋東洋ビル2階フリーダイアル：0120-507-317【名古屋】〒450-0002愛知県名古屋市中村区名駅3丁目22番8号　大東海ビル7Fフリーダイアル：0120-964-453【仙台】〒980-0021宮城県仙台市青葉区中央区3-2-1　青葉通プラザ13Fフリーダイアル：0120-934-318"
"(株)同和ライン ","単体 30名　 グループ 73名 （2013年3月現在）","1〜5名","dowa@jinjisaiyo.net",NO DATA,"同和ライン採用事務局 ※当社は新卒採用の一部をシンクトワイス(株)に委託しております。 お問い合わせの際には、同和ライン採用事務局新卒採用担当宛てに ご連絡ください。 "
"(株)スタッフサービス オフィス事業本部 ","3,596名（2016年4月）※グループ全体","51〜100名","mirayell@staffservice.ne.jp","0120-393-022","〒 101-0022東京都千代田区神田練塀町85番地　JEBL秋葉原スクエア(株)スタッフサービス　オフィス事業本部　ミラエール推進部　新卒採用担当　菊地・高橋TEL:0120-393-022"
"デジタルデータソリューション(株) ","76名（2016年10月現在）","6〜10名","jinji＠digitaldata-solution.co.jp","03-6264-1515","デジタルデータソリューション(株)採用担当〒104-0045　東京都中央区築地3-11-6 築地スクエアビル7FTEL:03-6264-1515"
"(株)カラック【博報堂グループ】  ","40名","1〜5名","carrac@jinjisaiyo.net",NO DATA,"※弊社は新卒採用をシンクトワイス(株)に委託しております。 　お問い合わせの際には、カラック採用事務局新卒採用担当宛てに 　ご連絡ください。"
"(株)新和（新和グループ） ",NO DATA,"51〜100名","recruit.2017@playland-happy.co.jp",NO DATA,"新和グループ 本社人事部 人財開発課　中村香織・水戸部祐子・細川真有・三木茂雄〒060-0005札幌市中央区北5条西6丁目2番地2 札幌センタービル25階新卒採用専用ダイヤル　011-221-5533※今回は「(株)新和」での募集となります。"
"(株)プロフェッショナル・ネットワークス ","125名  ※2016年4月1日現在","6〜10名",NO DATA,NO DATA,"東京都新宿区西新宿2-4-1　新宿NSビル28階　〒163-0828 担当/人事総務部　採用係 電話/0120-17-4191(フリーアクセス) "
"京成バス(株)【運転手採用】 ","1,827名（2016年1月31日現在）","46〜50名","keiseibus@saiyo-g.net",NO DATA,"京成バス(株)　総務部人事課　採用担当〒272-8540 千葉県市川市八幡三丁目3番1号"
"(株)ENEOSフロンティア【JXグループ】 ","社員　　2,607名　 パート、アルバイト　5,039名 （2016年2月1日現在）","46〜50名","saiyo@eneos-frontier.co.jp","03-3563-9130","(株)ENEOSフロンティア人事部　採用・教育グループ　採用担当 東京都中央区銀座1-10-6　銀座ファーストビル6F TEL:03-3563-9130FAX:03-3563-9129  "
"(株)ビット・エイ ","177名 (男99名,女78名) (2015年5月現在)","46〜50名","kawaguchi@bit.or.jp","025-371-4110","〒950-1457新潟県新潟市南区清水4501-1(株)ビット・エイ 管理部　川口、大石、古川TEL:025-371-4110"
"(株)マルチョウ【ブックオフ】 ","約120名（2015年12月現在）","1〜5名","saiyou@maruchou.com","048-960-5890","〒343-0813住所　埼玉県越谷市越ヶ谷1-3-14部署　ブックオフ越谷駅前店TEL　048-960-5890 "
"(株)エイジェック【ファクトリー総合事業部】  ","8,700名(単体)／11,500名(グループ全体) ※2016年3月末現在","301名〜","fac-shinsotsu@agekke.co.jp",NO DATA,"株式会社エイジェック　ファクトリー総合事業部　管理部　採用(新卒)北海道地区：0120-987-940　札 幌センター  東北地区：0120-979-745　山 形センター0120-987-920　仙 台センター0120-979-710　郡 山センター  関東地区：0120-272-271　宇都宮センター0120-979-740　大 宮センター0120-979-925　横 浜センター  甲信越地区：0120-979-725　上 越センター0120-979-935　上 田センター0120-979-520　甲 府センター  北陸地区：0120-979-944　富 山センター  静岡地区：0120-979-933　静 岡センター0120-979-570　沼 津センター  中部地区：0120-963-952　名古屋センター  関西地区：0120-663-371　大 阪センター0120-987-966　姫 路センター 中国地区：0120-987-933　広 島センター0120-522-294　岡 山センター  九州地区：0120-987-955　北九州センター0120-987-935　福 岡センター0120-979-915　熊 本センター  上記、最寄りセンターにて受付しております。お気軽にお問い合せ下さい。"
"際コーポレーション(株) ","1,404名（2015年10月現在）","36〜40名",NO DATA,"0120-696-364","際コーポレーション(株)〒153-0044　東京都目黒区大橋2-22-8 いちご池尻ビル3F TEL： 0120-696-364 受付：人事部（9時〜18時/月〜土） ※ご不明な点は、ご遠慮なくお問い合わせください。"
"(株)ヴァリック(AOKIグループ)【コート・ダジュール／快活CLUB】 ","社員/780名 アルバイト/9,800名（2015年11月1日現在）","51〜100名","saiyou@valic.co.jp","045-590-4188","(株)ヴァリック人事部採用課　新卒採用担当〒224-0021 神奈川県横浜市都筑区北山田3-1-50TEL:045-590-4188"
"夢コーポレーション(株)【夢屋】 ","1,198名（平成28年3月末現在）","16〜20名","jinji-yume@jinji-info.biz","0120-772-486","〒440-0888 愛知県豊橋市駅前大通一丁目135番地  ココラアベニュー3F 夢コーポレーション株式会社 運営推進部　人財採用グループ TEL　0120-772-486 電話受付時間　平日　9:00〜21:00／土日祝　10:00〜18:00"
"日研トータルソーシング(株)【プロジェクトマネージャー職】 ","約12,000名（2015年4月現在）","46〜50名","sekkei-sekou@nikken-ts.jp",NO DATA,"日研トータルソーシング株式会社 コンストラクション事業部／新卒採用ユニットフリーダイヤル：0120-458-153"
"(株)ゴリップ【GOLIP  Co., Ltd.】 ","700名（グループ連結） 300名（単体）","26〜30名",NO DATA,NO DATA,"株式会社ゴリップ京都府京都市下京区中堂寺坊城町28-5 革命ビル採用担当：03-5784-1279"
